laptop_id,model_name,brand,price_inr,rating,cpu_brand,cpu_tier,cpu_generation,cpu_cores,cpu_threads,ram_gb,ram_type,ssd_gb,hdd_gb,display_size_in,resolution_label,resolution_px,touchscreen,gpu_model,gpu_vram_gb,gpu_dedicated,os,warranty_years
749,HP Envy x360 15-fh0016AU Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),HP,86490,63.0,AMD,Ryzen 5,7.0,6.0,12.0,16.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,True,Integrated,0,False,Windows 11,1
750,HP Envy x360 15-fh0019AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),HP,85600,66.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,True,Integrated,0,False,Windows 11,1
751,Acer Aspire Lite AL15-51 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),Acer,30990,54.0,Intel,Core i3,11.0,2.0,4.0,8.0,DDR4,256,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
752,HP 14-em0027AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),HP,48990,56.0,AMD,Ryzen 5,7.0,4.0,8.0,16.0,LPDDR5,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
753,Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Asus,48990,56.0,Intel,Core i5,12.0,12.0,16.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Iris Xe Graphics,0,False,Windows 11,1
754,HP Envy x360 15-ew0041TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),HP,82990,68.0,Intel,Core i5,12.0,10.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,True,Iris Xe Graphics,0,False,Windows 11,1
755,Dell Inspiron 7430 2 in 1 Laptop (13th Gen Core i3/ 8GB/ 1TB SSD/ Win11),Dell,58490,52.0,Intel,Core i3,13.0,6.0,8.0,8.0,LPDDR5,1024,0,14.0,1920x1200,2304000.0,True,UHD Graphics,0,False,Windows 11,1
756,HP 14-em0025AU Laptop (AMD Ryzen  3 7320U/ 8GB/ 512GB SSD/ Win11 Home),HP,36990,53.0,AMD,Ryzen 3,7.0,4.0,8.0,8.0,LPDDR5,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
757,HP Pavilion Plus ‎14-eh1047TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11),HP,98990,66.0,Intel,Core i7,13.0,14.0,20.0,16.0,DDR4,512,0,14.0,2880x1800,5184000.0,False,Integrated,0,False,Windows 11,1
758,Asus Vivobook 14X K3405ZFB-KM541WS Laptop (12th Gen Core i5 /16GB/512GB SSD/Win11),Asus,67990,66.0,Intel,Core i5,12.0,8.0,12.0,16.0,DDR4,512,0,14.0,2880x1800,5184000.0,False,RTX 2050,4,True,Windows 11,1
