item_id,model_name,brand,price_inr,rating,num_ratings,color,type
175,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,809,3.3,1842,Black,In the Ear
176,Boult Audio AirBass Combuds Bluetooth Headset,Boult,1299,3.9,217931,White,True Wireless
177,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
178,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.9,35280,Black,True Wireless
179,Boult Audio FluidX Bluetooth Headset,Boult,1199,4.1,3030,Black,On the Ear
180,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
181,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.4,367,Black,True Wireless
182,Boult Audio Pro Bass Curve Pro Bluetooth Headset,Boult,1099,3.3,1842,Grey,In the Ear
183,Boult Audio ProBass Escape Bluetooth Headset,Boult,899,3.9,13427,Black,In the Ear
184,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.9,35280,Blue,True Wireless
185,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
186,Boult Audio AirBass Monopod Bluetooth Headset,Boult,580,3.8,75014,Black,True Wireless
187,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.9,35280,Black,True Wireless
188,Boult Audio Bass Bud Q2 Wired Headset,Boult,590,4.1,18050,Black,On the Ear
189,Boult Audio Thunder Bluetooth Headset,Boult,1199,4.2,0,Black,On the Ear
190,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,333036,Black,In the Ear
191,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
192,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.8,449,Black,True Wireless
193,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
194,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.1,228,Black,True Wireless
195,Boult Audio FluidX Bluetooth Headset,Boult,1199,4.2,245914,Black,On the Ear
196,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
197,Boult Audio AirBass FreePods Pro Bluetooth Headset,Boult,1499,3.3,10300,Black,True Wireless
198,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.9,22,Black,True Wireless
199,Boult Audio AirBass FreePods Pro Bluetooth Headset,Boult,1499,3.3,10300,Black,True Wireless
200,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,333036,Black,In the Ear
201,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
202,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,4.2,7050,Black,True Wireless
203,Boult Audio AirBass Combuds Bluetooth Headset,Boult,1299,3.4,0,White,True Wireless
204,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,3.6,773,Grey,In the Ear
205,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,Boult,1499,3.3,1842,Blue,True Wireless
206,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,4.2,14154,Black,True Wireless
207,Boult Audio AirBass ENCore with Environmental Noise Can...,Boult,1999,3.5,31507,Black,True Wireless
208,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,3.7,3,Grey,In the Ear
209,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,4.2,72556,Black,True Wireless
210,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,1193,Black,In the Ear
211,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.1,404,Grey,In the Ear
212,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,3.5,573,Black,True Wireless
213,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,4.0,333036,Grey,In the Ear
214,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,4.2,824592,Black,True Wireless
215,Boult Audio FluidX Bluetooth Headset,Boult,1199,5.0,0,Black,On the Ear
216,Boult Audio AirBass SoulPods Bluetooth Headset,Boult,2499,3.3,0,White,True Wireless
217,Boult Audio FluidX Bluetooth Headset,Boult,1199,1.0,0,Black,On the Ear
